address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
271B JURONG WEST ST 24,642271,1.350504607,103.7042506,271B JURONG WEST STREET 24 SINGAPORE 642271,"(1.350504607, 103.7042506)",Boon Lay,1.3329324040905106,Gek   Poh   Shopping   Centre    Singapore ,0.7498674297196287,SHENG SIONG SUPERMARKET PTE LTD,0.21255642104707317,Boon Lay Place Market and Food Village,1.1406297811494492,14.860376502982783
272B JURONG WEST ST 24,642272,1.350520817,103.7048622,272B JURONG WEST STREET 24 SINGAPORE 642272,"(1.350520817, 103.7048622)",Boon Lay,1.3275620926490748,Gek   Poh   Shopping   Centre    Singapore ,0.8161198718035156,SHENG SIONG SUPERMARKET PTE LTD,0.2512275532553535,Boon Lay Place Market and Food Village,1.0825877528026722,14.796197408748618
161A PUNGGOL CTRL,821161,1.3958161,103.9150182,161A PUNGGOL CENTRAL SINGAPORE 821161,"(1.3958161, 103.9150182)",Riviera,0.1828752286490806,Punggol   Plaza    Singapore ,0.2790080876617872,NTUC Fairprice Co-operative Ltd,0.2797636208926528,Kovan Market & Food Centre,5.199166506709433,13.331385845614072
176A EDGEFIELD PLAINS,821176,1.398997971,103.9081459,176A EDGEFIELD PLAINS PUNGGOL NORTH FIRE POST SINGAPORE 821176,"(1.398997971, 103.9081459)",Meridian,0.23662270142115488,Oasis   Terraces    Singapore ,0.6986019087801418,PRIME SUPERMARKET LIMITED?,0.28922357176146857,Kovan Market & Food Centre,5.070628653285981,13.077927100805791
110A PUNGGOL FIELD,821110,1.396124003,103.9092837,110A PUNGGOL FIELD SINGAPORE 821110,"(1.396124003, 103.9092837)",Meridian,0.1072640057014079,Punggol   Plaza    Singapore ,0.4783862613360165,PRIME SUPERMARKET LIMITED?,0.06235399415188677,Kovan Market & Food Centre,4.859493322204433,12.921286702097808
297 PUNGGOL CTRL,820297,1.402191213,103.9054519,297 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820297,"(1.402191213, 103.9054519)",Cove,0.29787789781613466,Waterway   Point    Singapore ,0.6177905217400688,SHENG SIONG SUPERMARKET PTE LTD,0.17976967636494096,Kovan Market & Food Centre,5.2542781642788565,13.160455255393979
191 PUNGGOL CTRL,820191,1.399512505,103.9097527,191 PUNGGOL CENTRAL SINGAPORE 820191,"(1.399512505, 103.9097527)",Meridian,0.29538624486237197,Oasis   Terraces    Singapore ,0.5229208612532795,COLD STORAGE SINGAPORE (1983) PTE LTD,0.14292959427005403,Kovan Market & Food Centre,5.208752272801536,13.23800743976108
412A FERNVALE LINK,791412,1.389231236,103.8779061,412A FERNVALE LINK CORAL VALE SINGAPORE 791412,"(1.389231236, 103.8779061)",Fernvale,0.36153123475671906,The   Seletar   Mall    Singapore ,0.31769024230699067,NTUC Fairprice Co-operative Ltd,0.3097263074058095,Chomp Chomp Food Centre,3.0529397817469,10.232691362516087
315A ANCHORVALE RD,541315,1.39194188,103.8890185,315A ANCHORVALE ROAD ANCHORVALE GARDENS SINGAPORE 541315,"(1.39194188, 103.8890185)",Tongkang,0.4452979850809927,Compass   One    Singapore ,0.6629101233190309,U STARS SUPERMARKET PTE. LTD.,0.5463262108521112,Kovan Market & Food Centre,3.666914143490604,11.152776788675967
690C WOODLANDS DR 75,733690,1.442982353,103.8079789,690C WOODLANDS DRIVE 75 SINGAPORE 733690,"(1.442982353, 103.8079789)",Sembawang,1.5070543134212167,Admiralty   Place    Singapore ,0.7757833075421987,VENKATESH DEEPA ( VIDEKS GROCERS ),0.15449000077395314,Chong Pang City Wet Market & Food Centre,2.586257287306405,15.04748377307209
