month,level_1,level_2,value
1964-01,All Items,Miscellaneous Goods & Services,18.643
1964-02,All Items,Food,23.404
1964-02,All Items,Food Excl Food Serving Services,na
1964-02,All Items,Food Serving Services,na
1964-02,All Items,Clothing & Footwear,53.614
1964-02,All Items,Housing & Utilities,27.104
1964-02,All Items,Household Durables & Services,31.483
1964-02,All Items,Health Care,18.604
1964-02,All Items,Transport,20.608
1964-02,All Items,Communication,89.155
1964-02,All Items,Recreation & Culture,49.124
1964-02,All Items,Education,15.578
1964-02,All Items,Miscellaneous Goods & Services,18.555
1964-03,All Items,Food,23.249
1964-03,All Items,Food Excl Food Serving Services,na
1964-03,All Items,Food Serving Services,na
1964-03,All Items,Clothing & Footwear,53.614
1964-03,All Items,Housing & Utilities,27.162
1964-03,All Items,Household Durables & Services,31.465
1964-03,All Items,Health Care,18.604
1964-03,All Items,Transport,20.608
1964-03,All Items,Communication,89.155
1964-03,All Items,Recreation & Culture,49.124
1964-03,All Items,Education,15.578
1964-03,All Items,Miscellaneous Goods & Services,18.555
1964-04,All Items,Food,22.722
1964-04,All Items,Food Excl Food Serving Services,na
1964-04,All Items,Food Serving Services,na
1964-04,All Items,Clothing & Footwear,53.635
1964-04,All Items,Housing & Utilities,27.162
1964-04,All Items,Household Durables & Services,31.548
1964-04,All Items,Health Care,18.604
1964-04,All Items,Transport,20.608
1964-04,All Items,Communication,89.155
1964-04,All Items,Recreation & Culture,49.124
1964-04,All Items,Education,15.578
1964-04,All Items,Miscellaneous Goods & Services,18.555
1964-05,All Items,Food,22.749
1964-05,All Items,Food Excl Food Serving Services,na
1964-05,All Items,Food Serving Services,na
1964-05,All Items,Clothing & Footwear,53.693
1964-05,All Items,Housing & Utilities,27.05
1964-05,All Items,Household Durables & Services,31.548
1964-05,All Items,Health Care,18.604
1964-05,All Items,Transport,20.608
1964-05,All Items,Communication,89.155
1964-05,All Items,Recreation & Culture,49.124
1964-05,All Items,Education,15.578
1964-05,All Items,Miscellaneous Goods & Services,18.553
1964-06,All Items,Food,22.632
1964-06,All Items,Food Excl Food Serving Services,na
1964-06,All Items,Food Serving Services,na
1964-06,All Items,Clothing & Footwear,53.635
1964-06,All Items,Housing & Utilities,27.05
1964-06,All Items,Household Durables & Services,31.548
